,Timestamp,Ground_truth,Predicted_value
1399,32.011,Run,Start to walk
1400,32.06,Run,Start to walk
1401,32.069,Run,Start to walk
1402,32.089,Run,Start to walk
1403,32.111,Run,Start to walk
1404,32.134,Run,Start to walk
1405,32.156,Run,Stand
1406,32.179,Run,Stand
1407,32.2,Run,Stand
1408,32.224,Run,Stand
1409,32.245,Run,Stand
1410,32.266,Run,Start to walk
1411,32.288,Run,Start to walk
1412,32.311,Run,Stand
1413,32.332,Run,Start to walk
1414,32.356,Run,Start to walk
1415,32.377,Run,Start to walk
1416,32.399,Run,Start to walk
1417,32.421,Run,Start to walk
1418,32.443,Run,Start to walk
1419,32.465,Run,Start to walk
1420,32.487,Run,Start to walk
1421,32.509,Run,Start to walk
1422,32.532,Run,Start to walk
1423,32.553,Run,Walk
1424,32.575,Run,Walk
1425,32.598,Run,Start to walk
1426,32.619,Run,Walk
1427,32.642,Run,Start to walk
1428,32.664,Run,Start to walk
1429,32.685,Run,Start to walk
1430,32.708,Run,Start to walk
1431,32.731,Run,Start to walk
1432,32.751,Run,Start to walk
1433,32.773,Run,Start to walk
1434,32.795,Run,Start to walk
1435,32.817,Run,Start to walk
1436,32.843,Run,Stand
1437,32.862,Run,Stand
1438,32.883,Run,Stand
1439,32.906,Run,Start to walk
1440,32.932,Run,Start to walk
1441,32.952,Run,Start to walk
1442,32.973,Run,Start to walk
1443,32.994,Run,Start to walk
1444,33.016,Run,Start to walk
1445,33.048,Run,Start to walk
1446,33.06,Run,Start to walk
1447,33.081,Run,Start to walk
1448,33.105,Run,Start to walk
1449,33.126,Run,Start to walk
1450,33.149,Run,Start to walk
1451,33.171,Run,Start to walk
1452,33.192,Run,Start to walk
1453,33.219,Run,Start to walk
1454,33.237,Run,Start to walk
1455,33.258,Run,Start to walk
1456,33.28,Run,Start to walk
1457,33.302,Run,Start to walk
1458,33.324,Run,Start to walk
1459,33.346,Run,Start to walk
1460,33.368,Run,Stand
1461,33.391,Start to walk,Start to walk
1462,33.413,Start to walk,Start to walk
1463,33.434,Start to walk,Start to walk
1464,33.457,Start to walk,Start to walk
1465,33.479,Start to walk,Start to walk
1466,33.501,Start to walk,Start to walk
1467,33.522,Start to walk,Start to walk
1468,33.546,Start to walk,Start to walk
1469,33.571,Start to walk,Start to walk
1470,33.59,Start to walk,Start to walk
1471,33.612,Start to walk,Start to walk
1472,33.634,Start to walk,Stand
1473,33.656,Start to walk,Start to walk
1474,33.679,Start to walk,Start to walk
1475,33.699,Start to walk,Stand
1476,33.721,Start to walk,Start to walk
1477,33.744,Start to walk,Start to walk
1478,33.766,Start to walk,Start to walk
1479,33.787,Start to walk,Stand
1480,33.815,Start to walk,Stand
1481,33.832,Start to walk,Start to walk
1482,33.854,Walk,Start to walk
1483,33.876,Walk,Start to walk
1484,33.898,Walk,Start to walk
1485,33.927,Walk,Start to walk
1486,33.942,Walk,Start to walk
1487,33.964,Walk,Start to walk
1488,33.986,Walk,Start to walk
1489,34.008,Walk,Start to walk
1490,34.033,Walk,Start to walk
1491,34.054,Walk,Start to walk
1492,34.074,Walk,Start to walk
1493,34.096,Walk,Start to walk
1494,34.118,Walk,Start to walk
1495,34.14,Walk,Stand
1496,34.163,Walk,Stand
1497,34.186,Walk,Stand
1498,34.206,Walk,Stand
1499,34.229,Walk,Stand
1500,34.25,Walk,Stand
1501,34.273,Walk,Stand
1502,34.295,Walk,Stand
1503,34.316,Walk,Stand
1504,34.338,Walk,Stand
1505,34.361,Walk,Stand
1506,34.383,Walk,Stand
1507,34.405,Walk,Stand
1508,34.427,Walk,Stand
1509,34.449,Walk,Stand
1510,34.471,Walk,Stand
1511,34.493,Walk,Stand
1512,34.515,Walk,Stand
1513,34.537,Walk,Stand
1514,34.559,Walk,Stand
1515,34.581,Walk,Stand
1516,34.603,Walk,Stand
1517,34.63,Walk,Stand
1518,34.647,Walk,Stand
1519,34.67,Walk,Stand
1520,34.692,Walk,Stand
1521,34.713,Walk,Stand
1522,34.736,Walk,Stand
1523,34.757,Walk,Walk
1524,34.779,Walk,Start to walk
1525,34.801,Walk,Start to walk
1526,34.823,Walk,Start to walk
1527,34.846,Walk,Start to walk
1528,34.868,Walk,Start to walk
1529,34.89,Walk,Start to walk
1530,34.912,Walk,Start to walk
1531,34.934,Walk,Start to walk
1532,34.956,Walk,Start to walk
1533,34.978,Walk,Start to walk
1534,35,Walk,Start to walk
1535,35.022,Walk,Start to walk
1536,35.049,Walk,Stand
1537,35.071,Walk,Stand
1538,35.092,Walk,Stand
1539,35.114,Walk,Stand
1540,35.137,Walk,Stand
1541,35.158,Walk,Stand
1542,35.181,Walk,Stand
1543,35.203,Walk,Stand
1544,35.225,Walk,Stand
1545,35.247,Walk,Stand
1546,35.268,Walk,Stand
1547,35.291,Walk,Stand
1548,35.313,Walk,Stand
1549,35.335,Walk,Stand
1550,35.359,Walk,Stand
1551,35.379,Walk,Stand
1552,35.401,Walk,Stand
